path,block,parcel,source_page_number
B6/B6_P13__photo4.jpg,6,13,283
B6/B6_P13__photo5.jpg,6,13,285
B6/B6_P13__photo6.jpg,6,13,285
B7/B7_P3__photo1.jpg,7,3,8
B7/B7_P3__photo2.jpg,7,3,8
B7/B7_P4__photo1.jpg,7,4,14
B7/B7_P4__photo2.jpg,7,4,14
B7/B7_P4__photo3.jpg,7,4,15
B7/B7_P4__photo4.jpg,7,4,21
B7/B7_P4__photo5.jpg,7,4,21
B7/B7_P4__photo6.jpg,7,4,22
B7/B7_P4__photo7.jpg,7,4,22
B7/B7_P4__photo8.jpg,7,4,22
B7/B7_P5__photo1.jpg,7,5,26
B7/B7_P5__photo2.jpg,7,5,26
B8/B8_P1__photo1.jpg,8,1,31
B8/B8_P1__photo2.jpg,8,1,31
B8/B8_P1__photo3.jpg,8,1,33
B8/B8_P1__photo4.jpg,8,1,33
B8/B8_P1__photo5.jpg,8,1,35
B8/B8_P1__photo6.jpg,8,1,35
B8/B8_P1__photo7.jpg,8,1,37
B8/B8_P1__photo8.jpg,8,1,37
B8/B8_P1__photo9.jpg,8,1,39
B8/B8_P1__photo10.jpg,8,1,39
B8/B8_P2__photo1.jpg,8,2,43
B8/B8_P2__photo2.jpg,8,2,43
B8/B8_P3__photo1.jpg,8,3,47
B8/B8_P3__photo2.jpg,8,3,48
B8/B8_P3__photo3.jpg,8,3,48
B8/B8_P4__photo1.jpg,8,4,54
B8/B8_P5__photo1.jpg,8,5,60
B8/B8_P5__photo2.jpg,8,5,60
B8/B8_P6__photo1.jpg,8,6,64
B8/B8_P6__photo2.jpg,8,6,64
B8/B8_P7__photo1.jpg,8,7,69
B8/B8_P7__photo2.jpg,8,7,69
B8/B8_P7__photo3.jpg,8,7,71
B8/B8_P7__photo4.jpg,8,7,71
B8/B8_P8__photo1.jpg,8,8,73
B8/B8_P8__photo2.jpg,8,8,73
B8/B8_P8__photo3.jpg,8,8,74
B8/B8_P9__photo1.jpg,8,9,78
B8/B8_P9__photo2.jpg,8,9,78
B8/B8_P11__photo1.jpg,8,11,81
B8/B8_P11__photo2.jpg,8,11,81
B8/B8_P11__photo3.jpg,8,11,81
B8/B8_P11__photo4.jpg,8,11,81
B8/B8_P11__photo5.jpg,8,11,83
B8/B8_P11__photo6.jpg,8,11,83
B8/B8_P10__photo1.jpg,8,10,87
